sig_i,entry_i,exit_i,sig_t,entry_t,exit_t,hour_utc,date_utc,dir_state,dir_score,range_pctl,rp_bucket,entry,sl,tp,exit,reason,risk,pnl,R,MAE_R,MFE_R
221,222,230,2026-01-05 07:30:00+00:00,2026-01-05 07:45:00+00:00,2026-01-05 09:45:00+00:00,7,2026-01-05,BEAR,-0.4619572800949796,0.0798611111111111,"[0.06,0.08)",92511.3,92757.03214285715,92019.83571428571,92757.03214285715,SL,245.73214285714494,-245.73214285714494,-1.0,1.2888016859239653,0.8924351427948594
223,224,231,2026-01-05 08:00:00+00:00,2026-01-05 08:15:00+00:00,2026-01-05 10:00:00+00:00,8,2026-01-05,BEAR,-0.40651721799313373,0.006944444444444444,"[0.00,0.02)",92612.6,92838.99285714286,92159.8142857143,92838.99285714286,SL,226.39285714285506,-226.39285714285506,-1.0,1.3799021927748727,1.4161224167850206
295,296,311,2026-01-06 02:00:00+00:00,2026-01-06 02:15:00+00:00,2026-01-06 06:00:00+00:00,2,2026-01-06,BEAR,-0.3513865819503185,0.041666666666666664,"[0.04,0.06)",93708.5,94027.81785714286,93069.86428571428,93713.5,TIME,319.317857142858,-5.0,-0.015658378910400478,0.8076591841984384,0.7559865337941168
296,297,312,2026-01-06 02:15:00+00:00,2026-01-06 02:30:00+00:00,2026-01-06 06:15:00+00:00,2,2026-01-06,BEAR,-0.4440301043414296,0.06944444444444445,"[0.06,0.08)",93650.0,93970.28214285715,93009.4357142857,93717.6,TIME,320.28214285714785,-67.60000000000582,-0.21106390570815167,0.9878789906220742,0.5710589993197691
303,304,316,2026-01-06 04:00:00+00:00,2026-01-06 04:15:00+00:00,2026-01-06 07:15:00+00:00,4,2026-01-06,BEAR,-0.40233278894717167,0.04513888888888889,"[0.04,0.06)",93915.8,94193.72857142857,93359.94285714287,93359.94285714287,TP,277.9285714285652,555.8571428571304,2.0,0.182061166795141,2.302030326394305
320,321,327,2026-01-06 08:15:00+00:00,2026-01-06 08:30:00+00:00,2026-01-06 10:00:00+00:00,8,2026-01-06,BEAR,-0.7592004730747013,0.08680555555555555,"[0.08,0.10)",93292.9,93572.89642857142,92732.90714285715,93572.89642857142,SL,279.99642857142317,-279.99642857142317,-1.0,1.1489432263167259,0.5803645454661523
325,326,331,2026-01-06 09:30:00+00:00,2026-01-06 09:45:00+00:00,2026-01-06 11:00:00+00:00,9,2026-01-06,BEAR,-0.7519887812201448,0.03125,"[0.02,0.04)",93416.5,93708.41071428571,92832.67857142858,93708.41071428571,SL,291.9107142857101,-291.9107142857101,-1.0,1.195913623294831,0.1949226157704606
329,330,334,2026-01-06 10:30:00+00:00,2026-01-06 10:45:00+00:00,2026-01-06 11:45:00+00:00,10,2026-01-06,BEAR,-0.4349742295614366,0.07291666666666667,"[0.06,0.08)",93547.6,93810.7642857143,93021.27142857143,93810.7642857143,SL,263.16428571428696,-263.16428571428696,-1.0,1.2079906630838686,0.32451211899142757
330,331,334,2026-01-06 10:45:00+00:00,2026-01-06 11:00:00+00:00,2026-01-06 11:45:00+00:00,10,2026-01-06,BEAR,-0.4534716135373892,0.013888888888888888,"[0.00,0.02)",93536.4,93801.27857142857,93006.64285714284,93801.27857142857,SL,264.87857142857683,-264.87857142857683,-1.0,1.242456111965048,0.022274357522292378
396,397,412,2026-01-07 03:15:00+00:00,2026-01-07 03:30:00+00:00,2026-01-07 07:15:00+00:00,3,2026-01-07,BEAR,-0.44065237325239887,0.05555555555555555,"[0.04,0.06)",92965.5,93384.11785714286,92128.26428571428,92775.2,TIME,418.6178571428609,190.3000000000029,0.4545912142851078,0.05589823654371368,1.2125617465639507
